,,,,
,,,,
,,,,
,,,,
,,,,
,,r,F(r),Redondeo
,1,0.1207142,7.241428474,7
,2,0.5551633,8.110326567,8
,3,0.4678525,7.935705072,8
,4,0.6229208,8.245841537,8
,5,0.6725508,8.3451015,8
,6,0.5128658,8.02573155,8
,7,0.6176251,8.235250187,8
,8,0.7908208,8.581641659,9
,9,0.2048340,7.409668002,7
,10,0.8303347,8.660669428,9
,11,0.7069726,8.413945278,8
,12,0.7441103,8.488220517,8
,13,0.1198316,7.239663249,7
,14,0.9082083,8.816416593,9
,15,0.2498472,7.49969448,7
,16,0.8250390,8.650078077,9
,17,0.8252427,8.650485437,9
,18,0.4360785,7.872156969,8
,19,0.3325412,7.66508249,8
,20,0.8243601,8.648720212,9
,21,0.7891235,8.578246996,9
,22,0.1145359,7.229071899,7
,23,0.0264784,7.052956752,7
,24,0.9418155,8.883630932,9
,25,0.0377487,7.075497318,7
,26,0.7413945,8.482789056,8
,27,0.9753547,8.950709485,9
,28,0.6220382,8.244076312,8
,29,0.0255958,7.051191527,7
,30,0.2948605,7.589720959,8
,31,0.8197434,8.639486727,9
,32,0.9435128,8.887025596,9
,33,0.1280467,7.256093421,7
,34,0.5452509,8.090501731,8
,35,0.7405119,8.481023831,8
,36,0.3283998,7.656799511,8
,37,0.4040329,7.808065721,8
,38,0.2277140,7.455428067,7
,39,0.4475524,7.895104895,8
,40,0.7429561,8.485912146,8
,41,0.6584289,8.316857899,8
,42,0.1615860,7.323171974,7
,43,0.1295404,7.259080725,7
,44,0.0247132,7.049426302,7
,45,0.6479055,8.295810985,8
,46,0.6017381,8.203476136,8
,47,0.1456311,7.291262136,7
,48,0.2807387,7.561477358,8
,49,0.4684636,7.936927151,8
,50,0.4554281,7.910856134,8
,,,,7.94
