,,,,
,,,,
,,,,
,,,,
,,,,
,,r,F(r),Redondeo
,1,0.1207142,5.241428474,5
,2,0.5551633,6.110326567,6
,3,0.4678525,5.935705072,6
,4,0.6229208,6.245841537,6
,5,0.6725508,6.3451015,6
,6,0.5128658,6.02573155,6
,7,0.6176251,6.235250187,6
,8,0.7908208,6.581641659,7
,9,0.2048340,5.409668002,5
,10,0.8303347,6.660669428,7
,11,0.7069726,6.413945278,6
,12,0.7441103,6.488220517,6
,13,0.1198316,5.239663249,5
,14,0.9082083,6.816416593,7
,15,0.2498472,5.49969448,5
,16,0.8250390,6.650078077,7
,17,0.8252427,6.650485437,7
,18,0.4360785,5.872156969,6
,19,0.3325412,5.66508249,6
,20,0.8243601,6.648720212,7
,21,0.7891235,6.578246996,7
,22,0.1145359,5.229071899,5
,23,0.0264784,5.052956752,5
,24,0.9418155,6.883630932,7
,25,0.0377487,5.075497318,5
,26,0.7413945,6.482789056,6
,27,0.9753547,6.950709485,7
,28,0.6220382,6.244076312,6
,29,0.0255958,5.051191527,5
,30,0.2948605,5.589720959,6
,31,0.8197434,6.639486727,7
,32,0.9435128,6.887025596,7
,33,0.1280467,5.256093421,5
,34,0.5452509,6.090501731,6
,35,0.7405119,6.481023831,6
,36,0.3283998,5.656799511,6
,37,0.4040329,5.808065721,6
,38,0.2277140,5.455428067,5
,39,0.4475524,5.895104895,6
,40,0.7429561,6.485912146,6
,41,0.6584289,6.316857899,6
,42,0.1615860,5.323171974,5
,43,0.1295404,5.259080725,5
,44,0.0247132,5.049426302,5
,45,0.6479055,6.295810985,6
,46,0.6017381,6.203476136,6
,47,0.1456311,5.291262136,5
,48,0.2807387,5.561477358,6
,49,0.4684636,5.936927151,6
,50,0.4554281,5.910856134,6
,,,,5.94
